word,stress_pattern,primary_syllable,common_mistakes,source
market,primary on syllable 1 (no shift to marketing),1,none notable beyond rhotic vowel and final consonant errors,standard dictionary pronunciation; cross-check pending
marketing,primary on syllable 1 (no shift from market),1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
competition,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
competitive,primary on syllable 2,2,none notable beyond coda /v/ risk,standard dictionary pronunciation; cross-check pending
consumer,primary on syllable 2 (no shift to consumption),2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
consumption,primary on syllable 2 (-tion rule),2,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
transaction,primary on syllable 2 (-tion rule),2,none notable beyond cluster and /z/ devoicing errors,standard dictionary pronunciation; cross-check pending
currency,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
inflation,primary on syllable 2 (-tion rule),2,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
taxation,primary on syllable 2 (-tion rule),2,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
income,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
salary,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
wage,primary stress (monosyllable),1,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
entrepreneur,"secondary on syllable 1, primary on final syllable (French-origin final stress)",4,stress misapplied to an earlier syllable,standard dictionary pronunciation; cross-check pending
enterprise,primary on syllable 1,1,none notable beyond rhotic vowel and diphthong errors,standard dictionary pronunciation; cross-check pending
shareholder,primary on first element (compound noun stress),1,none notable beyond diphthong and final /l/ errors,standard dictionary pronunciation; cross-check pending
stakeholder,primary on first element (compound noun stress),1,"none notable beyond cluster, diphthong, and final /l/ errors",standard dictionary pronunciation; cross-check pending
region,primary on syllable 1 (no shift to regional),1,none especially notable,standard dictionary pronunciation; cross-check pending
regional,primary on syllable 1 (no shift from region),1,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
rural,primary on syllable 1,1,none notable beyond repeated /r/ and final /l/ errors,standard dictionary pronunciation; cross-check pending
urban,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
suburb,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
municipal,primary on syllable 2,2,none notable beyond /mj/ glide and final /l/ errors,standard dictionary pronunciation; cross-check pending
residential,"secondary on syllable 1, primary on syllable 3",3,none notable beyond /z/ devoicing and final /l/ errors,standard dictionary pronunciation; cross-check pending
territory,primary on syllable 1,1,none notable beyond rhotic vowel errors at two sites,standard dictionary pronunciation; cross-check pending
boundary,primary on syllable 1,1,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
coastal,primary on syllable 1,1,none notable beyond diphthong and final /l/ errors,standard dictionary pronunciation; cross-check pending
media,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
journalism,primary on syllable 1 (no shift to journalist),1,none notable beyond rhotic vowel and /z/ devoicing errors,standard dictionary pronunciation; cross-check pending
journalist,primary on syllable 1 (no shift from journalism),1,none notable beyond rhotic vowel and final cluster errors,standard dictionary pronunciation; cross-check pending
broadcast,primary on first element (compound noun stress),1,none notable beyond cluster errors at two sites,standard dictionary pronunciation; cross-check pending
publication,"secondary on syllable 1, primary on syllable 4 (-tion rule, shift from publish)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
publish,primary on syllable 1 (shifts in publication),1,none notable beyond initial cluster simplification,standard dictionary pronunciation; cross-check pending
entertainment,"secondary on syllable 1, primary on syllable 3",3,"none notable beyond rhotic, diphthong, and cluster errors",standard dictionary pronunciation; cross-check pending
audience,primary on syllable 1,1,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
advertisement,primary on syllable 3 (GA-typical; distinct RP form exists),3,mixing GA and RP forms,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
advertise,primary on syllable 1,1,none notable beyond v/w and diphthong errors,standard dictionary pronunciation; cross-check pending
platform,primary on syllable 1,1,none notable beyond cluster and rhotic errors,standard dictionary pronunciation; cross-check pending
network,primary on first element (compound noun stress),1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
digital,primary on syllable 1,1,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
software,primary on first element (compound noun stress),1,none notable beyond initial cluster simplification,standard dictionary pronunciation; cross-check pending
hardware,primary on first element (compound noun stress),1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
interface,primary on syllable 1,1,none notable beyond rhotic vowel and diphthong errors,standard dictionary pronunciation; cross-check pending
database,primary on first element (compound noun stress),1,none notable beyond diphthong shortening at two sites,standard dictionary pronunciation; cross-check pending
server,primary on syllable 1,1,none notable beyond v/w and rhotic vowel errors,standard dictionary pronunciation; cross-check pending
bandwidth,primary on first element (compound noun stress),1,none notable beyond final /θ/ substitution,standard dictionary pronunciation; cross-check pending
connectivity,"secondary on syllable 2, primary on syllable 4 (-ity rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
law,primary stress (monosyllable),1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
legal,primary on syllable 1,1,final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
illegal,"primary on syllable 2 (root retains stress with the ""il-"" prefix)",2,final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
legislation,"secondary on syllable 1, primary on syllable 3 (-tion rule)",3,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
legislature,primary on syllable 1,1,diphthong /eɪ/ shortened; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
justice,primary on syllable 1,1,"medial ""-st-"" cluster",standard dictionary pronunciation; cross-check pending
judge,primary stress (monosyllable),1,final single /dʒ/ coda deleted or given an inserted vowel,standard dictionary pronunciation; cross-check pending
judicial,primary on syllable 2,2,final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
court,primary stress (monosyllable),1,rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
crime,primary stress (monosyllable),1,"initial ""-kr-"" cluster; diphthong /aɪ/ shortened",standard dictionary pronunciation; cross-check pending
criminal,primary on syllable 1,1,"initial ""-kr-"" cluster; final syllabic /l/ weakened",standard dictionary pronunciation; cross-check pending
offense,primary on syllable 2,2,"final ""-ns"" cluster",standard dictionary pronunciation; cross-check pending
penalty,primary on syllable 1,1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
punishment,primary on syllable 1,1,"final ""-ʃmənt"" cluster simplified",standard dictionary pronunciation; cross-check pending
enforcement,primary on syllable 2,2,"rhotic vowel under-produced; final ""-smənt"" cluster simplified",standard dictionary pronunciation; cross-check pending
regulation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
regulate,primary on syllable 1 (shifts in regulation),1,medial /gj/ glide dropped,standard dictionary pronunciation; cross-check pending
authority,primary on syllable 2,2,/θ/ produced as /s/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
election,primary on syllable 2 (-tion rule),2,stress misapplied despite the regular -tion pattern,standard dictionary pronunciation; cross-check pending
candidate,primary on syllable 1,1,"medial ""-nd-"" cluster",standard dictionary pronunciation; cross-check pending
campaign,primary on syllable 2,2,diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
democracy,primary on syllable 2 (shifts in democratic),2,"medial ""-kr-"" cluster",standard dictionary pronunciation; cross-check pending
democratic,"secondary on syllable 1, primary on syllable 3 (-ic rule, shift from democracy)",3,"medial ""-kr-"" cluster; applying democracy's stress instead of shifting",standard dictionary pronunciation; cross-check pending
citizen,primary on syllable 1 (no shift to citizenship),1,medial /z/ possibly devoiced to /s/,standard dictionary pronunciation; cross-check pending
citizenship,primary on syllable 1 (no shift from citizen; -ship is stress-neutral),1,"medial /z/ possibly devoiced to /s/; final ""-ʃɪp"" cluster",standard dictionary pronunciation; cross-check pending
constitution,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,"medial ""-nst-"" cluster; equal stress given word length",standard dictionary pronunciation; cross-check pending
parliament,primary on syllable 1,1,"rhotic vowel under-produced; final ""-mənt"" cluster",standard dictionary pronunciation; cross-check pending
senate,primary on syllable 1,1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
diplomat,primary on syllable 1 (shifts in diplomatic),1,"medial ""-pl-"" cluster",standard dictionary pronunciation; cross-check pending
diplomatic,"secondary on syllable 1, primary on syllable 3 (-ic rule, shift from diplomat)",3,"medial ""-pl-"" cluster; applying diplomat's stress instead of shifting",standard dictionary pronunciation; cross-check pending
literature,primary on syllable 1,1,rhotic vowel under-produced; over-articulating a natively compressed syllable,standard dictionary pronunciation; cross-check pending
novel,primary on syllable 1,1,final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
poetry,primary on syllable 1,1,diphthong /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
author,primary on syllable 1,1,/θ/ produced as /s/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
narrative,primary on syllable 1,1,final /v/ coda,standard dictionary pronunciation; cross-check pending
fiction,primary on syllable 1 (-tion rule),1,none especially notable beyond confirming the -tion pattern,standard dictionary pronunciation; cross-check pending
character,primary on syllable 1,1,"""ch"" mispronounced as /tʃ/ instead of /k/; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
theater,primary on syllable 1,1,/θ/ produced as /s/; two rhotic-adjacent vowels under-produced,standard dictionary pronunciation; cross-check pending
performance,primary on syllable 2 (no shift from perform),2,"two rhotic vowels under-produced; final ""-ns"" cluster",standard dictionary pronunciation; cross-check pending
perform,primary on syllable 2 (no shift to performance),2,two rhotic vowels under-produced,standard dictionary pronunciation; cross-check pending
exhibition,"secondary on syllable 1, primary on syllable 3 (-tion rule)",3,"equal stress given word length, despite the regular -tion pattern",standard dictionary pronunciation; cross-check pending
gallery,primary on syllable 1,1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
sculpture,primary on syllable 1,1,"initial ""-sk-"" cluster; heavy medial ""-lptʃ-"" cluster",standard dictionary pronunciation; cross-check pending
architecture,primary on syllable 1 (no shift to architect),1,"""ch"" mispronounced as /tʃ/; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
architect,primary on syllable 1 (no shift from architecture),1,"""ch"" mispronounced as /tʃ/; final ""-kt"" cluster",standard dictionary pronunciation; cross-check pending
athlete,primary on syllable 1 (shifts in athletic),1,/θ/ produced as /s/,standard dictionary pronunciation; cross-check pending
athletic,"primary on syllable 2 (-ic rule, shift from athlete)",2,/θ/ produced as /s/; applying athlete's stress instead of shifting,standard dictionary pronunciation; cross-check pending
championship,primary on syllable 1 (-ship stress-neutral),1,"final ""-ʃɪp"" cluster",standard dictionary pronunciation; cross-check pending
tournament,primary on syllable 1,1,"rhotic vowel under-produced; final ""-mənt"" cluster",standard dictionary pronunciation; cross-check pending
stadium,primary on syllable 1,1,diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
spectator,primary on syllable 1,1,"initial ""-sp-"" cluster; diphthong /eɪ/ shortened; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
leisure,primary on syllable 1,1,/ʒ/ substituted with /ʃ/ or another approximation,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
hobby,primary on syllable 1,1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
recreation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
tourism,primary on syllable 1 (no shift to tourist),1,rhotic vowel under-produced; medial /z/ possibly devoiced to /s/,standard dictionary pronunciation; cross-check pending
tourist,primary on syllable 1 (no shift from tourism),1,"rhotic vowel under-produced; final ""-rɪst"" cluster",standard dictionary pronunciation; cross-check pending
destination,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
accommodation,"secondary on syllable 2, primary on syllable 5 (-tion rule)",5,"doubled letters (""cc"", ""mm"") misread as suggesting extra sounds; diphthong /eɪ/ shortened; equal stress given word length",standard dictionary pronunciation; cross-check pending
itinerary,primary on syllable 2,2,diphthong /aɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
souvenir,"secondary on syllable 1, primary on the final syllable (French-origin final-stress pattern)",3,/v/ produced as /w/; stress misapplied to an earlier syllable,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
experiment,primary on syllable 2,2,"initial ""eks-"" cluster; final ""-mənt"" cluster",standard dictionary pronunciation; cross-check pending
laboratory,primary on syllable 1,1,over-articulating a natively compressed medial syllable; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
observe,primary on syllable 2 (shifts in observation),2,final /v/ coda; medial /z/ possibly devoiced to /s/,standard dictionary pronunciation; cross-check pending
observation,"secondary on syllable 1, primary on syllable 4 (-tion rule, shift from observe)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
sample,primary on syllable 1,1,"final syllabic /l/ weakened; medial ""-mp-"" cluster",standard dictionary pronunciation; cross-check pending
survey,noun: primary syllable 1; verb: primary syllable 2 (noun/verb stress-shift pair),1,applying the wrong form's stress to the other; rhotic vowel under-produced,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
questionnaire,"secondary on syllable 1, primary on the final syllable (French-origin final-stress pattern)",3,"stress misapplied to an earlier syllable; medial ""-stʃ-"" cluster",standard dictionary pronunciation; cross-check pending
verify,primary on syllable 1 (shifts in verification),1,diphthong /aɪ/ shortened; /v/ produced as /w/ at onset,standard dictionary pronunciation; cross-check pending
verification,"secondary on syllable 1, primary on syllable 4 (-tion rule, shift from verify)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
replicate,primary on syllable 1,1,"medial ""-pl-"" cluster; diphthong /eɪ/ shortened",standard dictionary pronunciation; cross-check pending
empirical,primary on syllable 2,2,"final syllabic /l/ weakened; medial ""-pɪr-"" cluster",standard dictionary pronunciation; cross-check pending
quantitative,primary on syllable 1,1,final /v/ coda; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
qualitative,primary on syllable 1,1,final /v/ coda; near-minimal pair confusion with quantitative,standard dictionary pronunciation; cross-check pending
statistic,primary on syllable 2,2,"initial ""-st-"" cluster; medial ""-tɪst-"" cluster",standard dictionary pronunciation; cross-check pending
statistics,primary on syllable 2 (no shift from statistic),2,"final ""-ks"" cluster; initial ""-st-"" cluster",standard dictionary pronunciation; cross-check pending
scientist,primary on syllable 1,1,"diphthong /aɪ/ shortened; final ""-tɪst"" cluster",standard dictionary pronunciation; cross-check pending
discovery,primary on syllable 2,2,"medial ""-sk-"" cluster",standard dictionary pronunciation; cross-check pending
discover,primary on syllable 2 (no shift from discovery),2,"medial ""-sk-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
invention,primary on syllable 2 (-tion rule),2,none especially notable beyond confirming the -tion pattern,standard dictionary pronunciation; cross-check pending
invent,primary on syllable 2,2,"final ""-nt"" cluster",standard dictionary pronunciation; cross-check pending
breakthrough,primary on syllable 1 (compound noun stress),1,"/θ/ produced as /s/; medial ""-kθ-"" cluster",standard dictionary pronunciation; cross-check pending
prototype,primary on syllable 1,1,diphthong /oʊ/ shortened; diphthong /aɪ/ shortened,standard dictionary pronunciation; cross-check pending
simulate,primary on syllable 1 (shifts in simulation),1,medial /mj/ glide dropped; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
simulation,"secondary on syllable 1, primary on syllable 4 (-tion rule, shift from simulate)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
calculate,primary on syllable 1 (shifts in calculation),1,medial /kj/ glide dropped; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
calculation,"secondary on syllable 1, primary on syllable 4 (-tion rule, shift from calculate)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
measurement,primary on syllable 1,1,"/ʒ/ substituted with /ʃ/; final ""-mənt"" cluster",standard dictionary pronunciation; cross-check pending
measure,primary on syllable 1,1,/ʒ/ substituted with /ʃ/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
assess,primary on syllable 2,2,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
assessment,primary on syllable 2 (no shift from assess),2,"final ""-smənt"" cluster",standard dictionary pronunciation; cross-check pending
household,primary on syllable 1 (compound noun stress),1,both diphthongs /aʊ/ and /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
family,primary on syllable 1,1,over-articulating a natively compressed medial syllable,standard dictionary pronunciation; cross-check pending
relative,primary on syllable 1,1,final /v/ coda,standard dictionary pronunciation; cross-check pending
sibling,primary on syllable 1,1,"final velar nasal /ŋ/ produced as /n/; medial ""-bl-"" cluster",standard dictionary pronunciation; cross-check pending
parent,primary on syllable 1,1,"final ""-rənt"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
spouse,primary stress (monosyllable),1,"initial ""-sp-"" cluster; diphthong /aʊ/ shortened",standard dictionary pronunciation; cross-check pending
marriage,primary on syllable 1,1,final single /dʒ/ coda deleted or given an inserted vowel,standard dictionary pronunciation; cross-check pending
divorce,primary on syllable 2,2,/v/ produced as /w/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
childhood,primary on syllable 1 (compound noun stress),1,"diphthong /aɪ/ shortened; medial ""-ldh-"" cluster",standard dictionary pronunciation; cross-check pending
elderly,primary on syllable 1,1,"medial ""-ld-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
guardian,primary on syllable 1,1,rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
upbringing,primary on syllable 1 (compound noun stress),1,"both final velar nasals /ŋ/ produced as /n/; medial ""-pbr-"" cluster",standard dictionary pronunciation; cross-check pending
ancestor,primary on syllable 1,1,"medial ""-ns-"" and ""-st-"" clusters; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
descendant,primary on syllable 2,2,"medial ""-nd-"" cluster; final ""-dənt"" cluster",standard dictionary pronunciation; cross-check pending
diet,primary on syllable 1,1,diphthong /aɪ/ shortened,standard dictionary pronunciation; cross-check pending
appetite,primary on syllable 1,1,diphthong /aɪ/ shortened,standard dictionary pronunciation; cross-check pending
allergy,primary on syllable 1,1,"rhotic vowel under-produced; medial ""-rdʒ-"" cluster",standard dictionary pronunciation; cross-check pending
therapy,primary on syllable 1 (no shift to therapist),1,/θ/ produced as /s/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
therapist,primary on syllable 1 (no shift from therapy),1,"/θ/ produced as /s/; final ""-pɪst"" cluster",standard dictionary pronunciation; cross-check pending
hospital,primary on syllable 1,1,"final syllabic /l/ weakened; medial ""-sp-"" cluster",standard dictionary pronunciation; cross-check pending
clinic,primary on syllable 1,1,"initial ""-kl-"" cluster",standard dictionary pronunciation; cross-check pending
patient,primary on syllable 1,1,diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
physician,primary on syllable 2 (-cian follows the -tion pattern),2,"spelling ""ph"" mispronounced; medial /z/ possibly devoiced to /s/",standard dictionary pronunciation; cross-check pending
surgeon,primary on syllable 1,1,rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
prescription,primary on syllable 2 (-tion rule),2,"dense initial ""-skr-"" cluster",standard dictionary pronunciation; cross-check pending
medication,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
recovery,primary on syllable 2,2,medial /v/ needs clear articulation,standard dictionary pronunciation; cross-check pending
rehabilitation,"primary on syllable 5, secondary on syllables 1 and 3 (-tion rule)",5,equal stress given the exceptional word length; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
wellness,primary on syllable 1,1,none especially notable at the segmental level,standard dictionary pronunciation; cross-check pending
hygiene,primary on syllable 1,1,"diphthong /aɪ/ shortened; final ""-ene"" spelling mispronounced",standard dictionary pronunciation; cross-check pending
airport,primary on syllable 1 (compound noun stress),1,"two rhotic vowels under-produced (""air"" and ""port"")",standard dictionary pronunciation; cross-check pending
passenger,primary on syllable 1,1,"medial ""-ndʒ-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
luggage,primary on syllable 1,1,final single /dʒ/ coda deleted or given an inserted vowel,standard dictionary pronunciation; cross-check pending
departure,primary on syllable 2,2,"rhotic vowel under-produced; medial ""-rtʃ-"" cluster",standard dictionary pronunciation; cross-check pending
arrival,primary on syllable 2,2,diphthong /aɪ/ shortened; final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
boarding,primary on syllable 1,1,final velar nasal /ŋ/ produced as /n/,standard dictionary pronunciation; cross-check pending
terminal,primary on syllable 1,1,rhotic vowel under-produced; final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
customs,primary on syllable 1,1,"medial ""-st-"" cluster; final ""-mz"" cluster",standard dictionary pronunciation; cross-check pending
immigration,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
passport,primary on syllable 1 (compound noun stress),1,"medial ""-sp-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
transit,primary on syllable 1,1,"initial ""-tr-"" cluster; medial /z/ possibly devoiced to /s/",standard dictionary pronunciation; cross-check pending
delay,primary on syllable 2,2,diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
route,primary stress (monosyllable),1,vowel confused between the two attested pronunciations,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
traffic,primary on syllable 1,1,"initial ""-tr-"" cluster",standard dictionary pronunciation; cross-check pending
congestion,primary on syllable 2,2,"dense medial ""-dʒɛstʃ-"" cluster",standard dictionary pronunciation; cross-check pending
weather,primary on syllable 1,1,/ð/ produced as /d/ or /z/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
forecast,primary on syllable 1 (compound noun/verb stress),1,"rhotic vowel under-produced; final ""-kæst"" cluster",standard dictionary pronunciation; cross-check pending
humidity,primary on syllable 2 (-ity rule),2,equal stress given the -ity rule; /hj/ glide dropped,standard dictionary pronunciation; cross-check pending
precipitation,"secondary on syllable 2, primary on syllable 5 (-tion rule)",5,"dense initial ""-pr-"" cluster; diphthong /eɪ/ shortened; equal stress given word length",standard dictionary pronunciation; cross-check pending
drought,primary stress (monosyllable),1,"initial ""-dr-"" cluster; diphthong /aʊ/ shortened",standard dictionary pronunciation; cross-check pending
flood,primary stress (monosyllable),1,"initial ""-fl-"" cluster",standard dictionary pronunciation; cross-check pending
hurricane,primary on syllable 1,1,rhotic vowel under-produced; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
thunderstorm,primary on syllable 1 (compound noun stress),1,"/θ/ produced as /s/; dense medial ""-ndərst-"" cluster; two rhotic vowels",standard dictionary pronunciation; cross-check pending
wind,primary stress (monosyllable),1,"final ""-nd"" cluster",standard dictionary pronunciation; cross-check pending
rainfall,primary on syllable 1 (compound noun stress),1,diphthong /eɪ/ shortened; final syllabic /l/ weakened,standard dictionary pronunciation; cross-check pending
storm,primary stress (monosyllable),1,"initial ""-st-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
disaster,primary on syllable 2,2,medial /z/ possibly devoiced to /s/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
earthquake,primary on syllable 1 (compound noun stress),1,/θ/ produced as /s/; rhotic vowel under-produced; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
wildfire,primary on syllable 1 (compound noun stress),1,"both diphthongs /aɪ/ shortened; medial ""-ldf-"" cluster",standard dictionary pronunciation; cross-check pending
tornado,primary on syllable 2,2,rhotic vowel under-produced; two diphthongs /eɪ/ and /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
interview,primary on syllable 1,1,medial /vj/ glide dropped; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
resume,noun: final-syllable stress (French-origin final-stress pattern); verb: primary on syllable 2,3,confusing the two meanings and their distinct pronunciations,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
application,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,diphthong /eɪ/ shortened; equal stress given word length,standard dictionary pronunciation; cross-check pending
promotion,primary on syllable 2 (-tion rule),2,"diphthong /oʊ/ shortened; dense initial ""-pr-"" cluster",standard dictionary pronunciation; cross-check pending
recruit,primary on syllable 2 (no shift to recruitment),2,"dense initial ""-kr-"" cluster after /r/",standard dictionary pronunciation; cross-check pending
recruitment,primary on syllable 2 (no shift from recruit),2,"final ""-tmənt"" cluster",standard dictionary pronunciation; cross-check pending
onboarding,primary on syllable 1,1,final velar nasal /ŋ/ produced as /n/; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
teamwork,primary on syllable 1 (compound noun stress),1,rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
freelance,primary on syllable 1 (compound-style stress),1,"final ""-ns"" cluster",standard dictionary pronunciation; cross-check pending
remote,primary on syllable 2,2,diphthong /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
overtime,primary on syllable 1 (compound noun stress),1,both diphthongs /oʊ/ and /aɪ/ shortened,standard dictionary pronunciation; cross-check pending
appraisal,primary on syllable 2,2,"dense ""-pr-"" cluster; diphthong /eɪ/ shortened; final syllabic /l/ weakened",standard dictionary pronunciation; cross-check pending
feedback,primary on syllable 1 (compound noun stress),1,"medial ""-db-"" cluster",standard dictionary pronunciation; cross-check pending
mentor,primary on syllable 1,1,"medial ""-nt-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
internship,"primary on syllable 1 (no shift, -ship stress-neutral)",1,dense medial cluster region; rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
password,primary on syllable 1 (compound noun stress),1,"medial ""-sw-"" cluster; rhotic vowel under-produced",standard dictionary pronunciation; cross-check pending
username,primary on syllable 1 (compound noun stress),1,medial /z/ possibly devoiced to /s/; diphthong /eɪ/ shortened,standard dictionary pronunciation; cross-check pending
upload,primary on syllable 1 as noun/adjective; verb stress more variable than download,1,diphthong /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
download,"primary on syllable 1 (compound noun stress, consistent across noun and verb)",1,both diphthongs /aʊ/ and /oʊ/ shortened,standard dictionary pronunciation; cross-check pending
browser,primary on syllable 1,1,diphthong /aʊ/ shortened; medial /z/ possibly devoiced to /s/,standard dictionary pronunciation; cross-check pending
website,primary on syllable 1 (compound noun stress),1,"diphthong /aɪ/ shortened; medial ""-bs-"" cluster",standard dictionary pronunciation; cross-check pending
encryption,primary on syllable 2 (-tion rule),2,"dense ""-kr-"" cluster",standard dictionary pronunciation; cross-check pending
cybersecurity,"primary on syllable 5 (before -ity), secondary on syllable 1",5,diphthong /aɪ/ shortened; equal stress given exceptional length; /kj/ glide dropped,standard dictionary pronunciation; cross-check pending
