word,part_of_speech,meaning,chinese_translation,related_words,difficulty,notes
journalism,noun,"the profession of writing for newspapers or broadcasting",新闻业,"journalist (n.); journal (n.)",Medium,"stress-stable with journalist"
journalist,noun,"a person who writes for newspapers or broadcasting",记者,"journalism (n.)",Medium,"stress-stable with journalism"
broadcast,"noun / verb","a transmission of a program on radio or television",广播；播送,"broadcasting (n.); broadcaster (n.)",Medium,"compound noun stress example"
publication,noun,"the action of publishing; a published work",出版；出版物,"publish (v.); publisher (n.)",High,"-tion suffix stress example; shift from publish"
publish,verb,"to prepare and issue a book, journal, etc.",出版；发表,"publication (n.); publisher (n.)",Medium,"stress-shift pair with publication"
entertainment,noun,"activities providing amusement or enjoyment",娱乐,"entertain (v.); entertaining (adj.)",High,""
audience,noun,"the people watching or listening to a performance",观众,"audiences (pl.)",Medium,""
advertisement,noun,"a paid public announcement promoting a product",广告,"advertise (v.); advertising (n.)",High,"GA vs RP stress variation"
advertise,verb,"to promote a product or service publicly",做广告；宣传,"advertisement (n.); advertising (n.)",Medium,""
platform,noun,"a raised structure; a system for running software or ideas",平台,"platforms (pl.)",Medium,""
network,"noun / verb","a system of interconnected things or people",网络,"networking (n.); networked (adj.)",Low,"compound noun stress example"
digital,adjective,"relating to computer technology",数字的；数码的,"digitize (v.); digitally (adv.)",Low,""
software,noun,"computer programs and operating information",软件,"",Medium,"compound noun stress example"
hardware,noun,"the physical components of a computer system",硬件,"",Low,"compound noun stress example"
interface,"noun / verb","a point where two systems meet and interact",界面；接口,"interfaces (pl.)",Medium,""
database,noun,"a structured set of data held in a computer",数据库,"databases (pl.)",High,"compound noun stress example"
server,noun,"a computer that provides data to other computers",服务器,"servers (pl.)",Medium,""
bandwidth,noun,"the capacity for data transfer; available time or resources",带宽,"",High,"compound noun stress; first word-final /θ/ example"
connectivity,noun,"the state of being connected",连接性；连通性,"connect (v.); connection (n.); connective (adj.)",High,"fourth -ity suffix stress example"
law,noun,a system of rules enforced by a governing authority,法律,legal (adj.); lawyer (n.),Low,low-risk monosyllable; legal-topic anchor word
legal,adjective,relating to the law,合法的,illegal (adj.); legally (adv.),Low,illegal below does not shift stress off the root
illegal,adjective,contrary to or forbidden by law,非法的,legal (adj.); illegally (adv.),Medium,prefix-stability set alongside encourage/discourage (Batch 5)
legislation,noun,laws considered collectively,立法；法规,legislature (n.); legislate (v.),High,-tion rule; contrast with legislature which does not shift
legislature,noun,the legislative body of a country or state,立法机构,legislation (n.); legislate (v.),High,contrast case: does not follow the -tion shift
justice,noun,fair treatment; the legal system,正义；司法,just (adj.); justify (v.),Low,
judge,noun / verb,a public official who presides over a court,法官；评判,judgment (n.); judicial (adj.),Low,
judicial,adjective,relating to a court of law or judgment,司法的,judge (n./v.); judiciary (n.),Medium,
court,noun,a body that administers justice,法院,courts (pl.); courtroom (n.),Low,
crime,noun,an action punishable by law,犯罪,criminal (adj./n.),Medium,
criminal,adjective / noun,relating to crime; a person who commits a crime,犯罪的；罪犯,crime (n.),Medium,
offense,noun,a violation of a rule or law,违法行为；冒犯,offensive (adj.); offend (v.),Medium,
penalty,noun,a punishment for breaking a rule or law,处罚,penalize (v.),Low,
punishment,noun,a penalty imposed for wrongdoing,惩罚,punish (v.),Medium,
enforcement,noun,the act of compelling observance of a law,执法,enforce (v.),Medium,
regulation,noun,a rule made by an authority,规定；监管,regulate (v.); regulatory (adj.),High,third -tion shift-from-base-verb pair after organize/organization and publish/publication
regulate,verb,to control by rule,监管；调节,regulation (n.); regulatory (adj.),Medium,
authority,noun,the power to give orders or make decisions,权威；当局,authorize (v.); authoritative (adj.),Medium,
election,noun,a formal process of choosing a person for office,选举,elect (v.); electoral (adj.),Low,
candidate,noun,a person running for office or applying for a job,候选人；候补者,candidacy (n.),Medium,
campaign,noun / verb,an organized effort to achieve a goal,竞选；活动,campaigning (n.),Low,
democracy,noun,a system of government by the whole population,民主,democratic (adj.); democrat (n.),Medium,-ic family shift pair alongside economy/economic (Batch 3)
democratic,adjective,relating to or supporting democracy,民主的,democracy (n.),High,"second concrete -ic family shift pair in this lexicon, alongside economy/economic"
citizen,noun,a legally recognized member of a state,公民,citizenship (n.),Medium,
citizenship,noun,the status of being a citizen,公民身份,citizen (n.),Medium,"-ship is stress-neutral, unlike other suffixes tracked so far"
constitution,noun,a body of fundamental principles governing a state,宪法,constitutional (adj.),High,
parliament,noun,the legislative body of certain countries,议会,parliamentary (adj.),Medium,
senate,noun,the upper house of certain legislatures,参议院,senator (n.),Low,
diplomat,noun,an official who represents a country abroad,外交官,diplomatic (adj.); diplomacy (n.),Medium,
diplomatic,adjective,relating to diplomacy; tactful,外交的；圆通的,diplomat (n.); diplomacy (n.),High,"-ic rule shift; three-item family with democracy/democratic, economy/economic"
literature,noun,"written works, especially those of artistic merit",文学,literary (adj.),Medium,same compression pattern as temperature (Batch 7)
novel,noun / adjective,a long fictional narrative; new and original,小说；新颖的,novelist (n.),Low,
poetry,noun,literary work in verse form,诗歌,poem (n.); poet (n.); poetic (adj.),Medium,
author,noun,a writer of a book or article,作者,authorship (n.),Medium,
narrative,noun / adjective,a spoken or written account of events,叙事；故事,narrate (v.); narration (n.),Medium,compare cognitive (Batch 7) and competitive (Batch 8) for the same coda-/v/ risk
fiction,noun,literature describing imaginary events,小说；虚构,fictional (adj.); nonfiction (n.),Low,
character,noun,a person in a story; a set of qualities,角色；性格,characteristic (adj.); characterize (v.),Medium,sixth spelling-mismatch example; compare architecture/architect
theater,noun,a building for dramatic performances,剧院；戏剧,theatrical (adj.),Medium,
performance,noun,"an act of presenting a play, concert, etc.; how well something functions",表演；表现,perform (v.); performer (n.),Medium,no shift from perform
perform,verb,to carry out an action or function; to present a show,表演；执行,performance (n.); performer (n.),Medium,no shift to performance
exhibition,noun,a public display of art or items of interest,展览,exhibit (n./v.); exhibitor (n.),High,"x-spelling ambiguity in related word exhibit, a related but distinct case"
gallery,noun,a room or building for displaying art,画廊,galleries (pl.),Low,
sculpture,noun,a three-dimensional work of art,雕塑,sculptor (n.); sculpt (v.),High,
architecture,noun,the art and science of designing buildings,建筑（学）,architect (n.); architectural (adj.),High,seventh spelling-mismatch example; no shift from architect
architect,noun,a person who designs buildings,建筑师,architecture (n.); architectural (adj.),Medium,
athlete,noun,a person who competes in sports,运动员,athletic (adj.); athletics (n.),Medium,
athletic,adjective,relating to physical exercise or sports,运动的；健壮的,athlete (n.); athletics (n.),High,fourth concrete -ic family shift pair in this lexicon
championship,noun,a competition to determine an overall winner,锦标赛,champion (n.),Medium,"-ship is stress-neutral, confirmed alongside citizenship"
tournament,noun,a series of contests between a number of competitors,锦标赛；比赛,tournaments (pl.),Medium,
stadium,noun,a large sports venue with tiered seating,体育场,stadiums (pl.),Medium,
spectator,noun,a person who watches an event,观众,spectators (pl.); spectate (v.),High,
leisure,noun,free time; freedom from work,休闲,leisurely (adj./adv.),High,first /ʒ/ example in this lexicon
hobby,noun,an activity done regularly for pleasure,爱好,hobbies (pl.),Low,
recreation,noun,activity done for enjoyment when not working,娱乐；消遣,recreational (adj.),High,
tourism,noun,the business of travel for pleasure,旅游业,tourist (n.); tour (n./v.),Medium,no shift to tourist
tourist,noun,a person traveling for pleasure,游客,tourism (n.); tour (n./v.),Medium,no shift from tourism
destination,noun,the place to which someone is traveling,目的地,destined (adj.),High,
accommodation,noun,lodging or living space,住宿,accommodate (v.),High,"doubled-letter spelling case, distinct from the true silent-letter thread"
itinerary,noun,a planned route or schedule for a journey,行程,itinerant (adj.),High,
souvenir,noun,an object kept as a reminder of a place or event,纪念品,souvenirs (pl.),Medium,second French-origin final-stress loanword after entrepreneur (Batch 8)
experiment,noun / verb,a scientific test to discover something or prove a theory,实验,experimental (adj.); experimentation (n.),Medium,
laboratory,noun,a room or building for scientific research,实验室,lab (informal short form),High,"third reduction-thread example after temperature, literature"
observe,verb,to watch carefully; to notice,观察,observation (n.); observer (n.),Medium,
observation,noun,the action of observing something,观察；观测,observe (v.),High,fourth -tion shift-from-base-word pair
sample,noun / verb,a small part representative of a whole,样本；样品,sampling (n.),Low,
survey,noun / verb,a general view or study; to examine or ask questions of a group,调查,surveyor (n.),Medium,new noun/verb stress-shift pair
questionnaire,noun,a set of written questions for gathering information,调查问卷,question (n./v.),High,third French-origin final-stress loanword
verify,verb,to confirm the truth or accuracy of something,核实；验证,verification (n.); verifiable (adj.),Medium,
verification,noun,the process of confirming something is true,核实；验证,verify (v.),High,fifth -tion shift-from-base-word pair
replicate,verb,to reproduce or copy exactly,复制；重复,replication (n.); replicable (adj.),Medium,
empirical,adjective,based on observation or experiment rather than theory,经验的；实证的,empiricism (n.),High,second -ical family example after historical
quantitative,adjective,"relating to quantity or amount, expressed in numbers",定量的,quantity (n.); quantify (v.),High,"coda-/v/, minimal-pair companion to qualitative"
qualitative,adjective,relating to quality or kind rather than quantity,定性的,quality (n.); qualify (v.),High,second coda-/v/ data point in this pair
statistic,noun,a numerical fact from a set of data,统计数字,statistics (n. pl.); statistical (adj.),Medium,
statistics,noun,the science of collecting and analyzing numerical data,统计学,statistic (n.); statistical (adj.),Medium,
scientist,noun,a person who studies or practices science,科学家,science (n.); scientific (adj.),Medium,
discovery,noun,the act of finding something previously unknown,发现,discover (v.),Medium,
discover,verb,to find something previously unknown,发现,discovery (n.),Medium,no shift from discovery
invention,noun,something newly created; the act of creating something new,发明,invent (v.); inventor (n.),Low,
invent,verb,to create something new,发明,invention (n.); inventor (n.),Low,
breakthrough,noun,a sudden important discovery or development,突破,break (v.); through (prep.),Medium,another compound-noun-stress example
prototype,noun,an early sample or model built to test a concept,原型,prototypical (adj.),Medium,
simulate,verb,to imitate the conditions of a situation,模拟,simulation (n.); simulator (n.),Medium,
simulation,noun,the imitation of a situation or process,模拟,simulate (v.),High,sixth -tion shift-from-base-word pair
calculate,verb,to determine by a mathematical process,计算,calculation (n.); calculator (n.),Medium,
calculation,noun,the process of calculating,计算,calculate (v.),High,seventh -tion shift-from-base-word pair
measurement,noun,the act of measuring; a figure obtained by measuring,测量,measure (v./n.),Medium,second /ʒ/ example
measure,verb / noun,to determine the size or amount of something,测量；措施,measurement (n.),Medium,third /ʒ/ example
assess,verb,to evaluate or estimate the nature of something,评估,assessment (n.),Low,
assessment,noun,the evaluation of something,评估,assess (v.),Medium,
household,noun,a house and its occupants regarded as a unit,家庭；住户,house (n.); hold (v.),Medium,compound noun stress
family,noun,"a group of related people, especially parents and children",家庭,"familiar (adj., unrelated meaning)",Low,fourth reduction-thread example
relative,noun / adjective,a family member; considered in relation to something else,亲戚；相对的,relate (v.); relationship (n.),Medium,
sibling,noun,a brother or sister,兄弟姐妹,siblings (pl.),Medium,first /ŋ/ example
parent,noun,a mother or father,父母,parental (adj.); parenthood (n.),Low,
spouse,noun,a husband or wife,配偶,spousal (adj.),Medium,
marriage,noun,the legal union of two people,婚姻,marry (v.); married (adj.),Low,
divorce,noun / verb,the legal ending of a marriage,离婚,divorced (adj.),Medium,
childhood,noun,the period of being a child,童年,child (n.); childish (adj.),Medium,compound noun stress
elderly,adjective,"old, especially referring to people",年长的,elder (n./adj.),Low,
guardian,noun,a person legally responsible for someone unable to manage their own affairs,监护人,guardianship (n.),Medium,
upbringing,noun,the way a child is raised,教养；抚养方式,bring up (phrasal v.),Medium,second /ŋ/ example
ancestor,noun,a person from whom one is descended,祖先,ancestry (n.); ancestral (adj.),Medium,
descendant,noun,a person descended from a particular ancestor,后代,descend (v.); descent (n.),Medium,
diet,noun,the food a person or animal habitually eats,饮食,dietary (adj.); dietitian (n.),Low,
appetite,noun,a natural desire to eat food,食欲,appetizer (n.),Medium,
allergy,noun,a damaging immune response to a substance,过敏,allergic (adj.); allergen (n.),Medium,
therapy,noun,treatment intended to relieve or heal a disorder,治疗；疗法,therapist (n.); therapeutic (adj.),Medium,
therapist,noun,a person who provides therapy,治疗师,therapy (n.),Medium,no shift from therapy
hospital,noun,an institution providing medical treatment,医院,hospitalize (v.); hospitalization (n.),Low,
clinic,noun,a facility for outpatient medical care,诊所,clinical (adj.),Low,
patient,noun / adjective,a person receiving medical care; able to wait calmly,病人；耐心的,patience (n.),Low,"homograph, invariant stress"
physician,noun,a medical doctor,内科医生,"physical (adj., different meaning)",Medium,"first -cian example, extends -tion rule"
surgeon,noun,a doctor who performs operations,外科医生,surgery (n.); surgical (adj.),Medium,
prescription,noun,a doctor's written instruction for medicine,处方,prescribe (v.),High,
medication,noun,medicine used to treat illness,药物,medicine (n.); medicate (v.),High,
recovery,noun,the process of returning to health,恢复,recover (v.),Low,
rehabilitation,noun,the process of restoring someone to health or normal function,康复；复原,rehabilitate (v.),High,"longest -tion word in the lexicon, 6 syllables"
wellness,noun,the state of being healthy,健康；养生,well (adj./adv.),Low,
hygiene,noun,practices that maintain health and cleanliness,卫生,hygienic (adj.),Medium,
airport,noun,"a place where aircraft take off and land, with facilities for passengers",机场,airplane (n.); airline (n.),Low,compound noun stress
passenger,noun,a person traveling in a vehicle other than the driver or crew,乘客,pass (v.),Medium,
luggage,noun (uncountable),bags and suitcases used for traveling,行李,baggage (synonym),Low,
departure,noun,"the act of leaving, especially at the start of a journey",离开；出发,depart (v.),Medium,
arrival,noun,the act of arriving,到达,arrive (v.),Medium,
boarding,noun (gerund),"the process of getting on a plane, train, or ship",登机；登船,board (v.),Low,third /ŋ/ example
terminal,noun / adjective,a building where passengers transfer to or from transportation,航站楼；终点,terminate (v.),Medium,
customs,noun,the official process of checking goods and travelers entering a country,海关,"custom (n., different meaning)",Medium,
immigration,noun,"the process of entering a country to live there, or the checkpoint for this",移民；入境检查,immigrate (v.); immigrant (n.),High,
passport,noun,an official document for international travel,护照,pass (n./v.); port (n.),Low,compound noun stress
transit,noun,the process of traveling through or to a place,运输；过境,transition (n.),Medium,
delay,noun / verb,a period of time by which something is late,延误,delayed (adj.),Low,
route,noun,a way or course taken to get somewhere,路线,"routine (n., unrelated word)",Low,GA/variant caution
traffic,noun,vehicles moving on a road; the flow of movement generally,交通；车流,"trafficking (n., different meaning)",Low,
congestion,noun,overcrowding causing blockage or slow movement,拥堵,congest (v.); congested (adj.),High,
weather,noun,the state of the atmosphere at a particular time,天气,weathering (n.),Medium,second medial /ð/ example
forecast,noun / verb,"a prediction, especially of weather",预报；预测,forecaster (n.),Medium,compound noun stress
humidity,noun,the amount of moisture in the air,湿度,humid (adj.),High,fifth -ity data point
precipitation,noun,"rain, snow, sleet, or hail that falls to the ground",降水,precipitate (v.),High,
drought,noun,a prolonged period of abnormally low rainfall,干旱,droughts (pl.),Medium,
flood,noun / verb,an overflow of water onto normally dry land,洪水,flooding (n.),Low,
hurricane,noun,a severe tropical storm with high winds,飓风,hurricanes (pl.),Medium,
thunderstorm,noun,a storm with thunder and lightning,雷暴,thunder (n.); storm (n.),High,compound noun stress
wind,noun,the natural movement of air,风,windy (adj.),Low,
rainfall,noun,the amount of rain that falls in a given period,降雨量,rain (n./v.); fall (n./v.),Medium,compound noun stress
storm,noun,a violent disturbance of the atmosphere,暴风雨,stormy (adj.),Low,
disaster,noun,a sudden event causing great damage or suffering,灾难,disastrous (adj.),Medium,
earthquake,noun,a sudden violent shaking of the ground,地震,"quake (n., short form)",High,compound noun stress
wildfire,noun,"a large, destructive fire that spreads quickly outdoors",野火,fire (n.); wild (adj.),High,compound noun stress
tornado,noun,a violently rotating column of air,龙卷风,tornadoes (pl.),High,
interview,noun / verb,a formal meeting to assess a candidate or gather information,面试；采访,interviewer (n.); interviewee (n.),Medium,
resume,noun / verb (two unrelated words),a document summarizing a person's work history (noun); to begin again after a pause (verb),简历（名词）；恢复、继续（动词）,résumé (CV n.); resumption (n.),High,"heteronym caution, fourth French-origin final-stress example"
application,noun,a formal request; a software program,申请；应用程序,apply (v.); applicant (n.),High,
promotion,noun,advancement to a higher position; publicity for something,晋升；促销,promote (v.),Medium,
recruit,verb / noun,to enlist someone for a job or organization,招募,recruitment (n.); recruiter (n.),Medium,
recruitment,noun,the process of recruiting people,招募,recruit (v.),Medium,no shift from recruit
onboarding,noun (gerund),the process of integrating a new employee,入职培训,onboard (v./adj.); board (v.),Medium,fourth /ŋ/ example
teamwork,noun,the combined action of a group working together,团队合作,team (n.); work (n./v.),Low,compound noun stress
freelance,adjective / noun / verb,"self-employed, not committed to a single employer",自由职业的,freelancer (n.),Medium,compound-style stress
remote,adjective,far away; (of work) done outside a traditional office,远程的；偏远的,remotely (adv.),Low,
overtime,noun,time worked beyond normal hours,加班,over (prep.); time (n.),Medium,compound noun stress
appraisal,noun,"a formal assessment, especially of performance",评估；估价,appraise (v.),High,
feedback,noun,information about performance used as a basis for improvement,反馈,feed (v.); back (adv.),Low,compound noun stress
mentor,noun / verb,an experienced person who advises a less experienced one,导师,mentorship (n.),Low,
internship,noun,"a period of supervised practical training, often for students",实习,intern (n./v.),Medium,third -ship confirmation
password,noun,a secret word or phrase used to gain access,密码,pass (n./v.); word (n.),Low,compound noun stress
username,noun,"a name used to identify a user, especially online",用户名,user (n.); name (n.),Medium,compound noun stress
upload,verb / noun,to transfer data to a remote system,上传,download (below),Low,
download,verb / noun,to transfer data from a remote system,下载,upload (above),Low,compound noun stress
browser,noun,software used to access the internet,浏览器,browse (v.),Low,
website,noun,a location on the internet with related web pages,网站,web (n.); site (n.),Low,compound noun stress
encryption,noun,the process of converting information into a coded form,加密,encrypt (v.),High,
cybersecurity,noun,protection of computer systems from digital attacks,网络安全,cyber- (prefix); security (n.),High,"sixth -ity, longest compound"
malware,noun,software designed to disrupt or damage a system,恶意软件,software (n.); malicious (adj.),Medium,compound noun stress
firewall,noun,a system that monitors and controls network traffic for security,防火墙,fire (n.); wall (n.),Medium,compound noun stress
cloud,noun,(in computing) remote servers used to store and process data,云（计算）,cloud computing (n. phrase),Low,
streaming,noun (gerund),transmitting or receiving audio/video continuously over the internet,流媒体；串流,stream (n./v.),Medium,fifth /ŋ/ example
subscription,noun,an arrangement to pay regularly for access to a service,订阅,subscribe (v.),High,
app,noun (short for application),"a software program, especially for a mobile device",应用程序（app）,application (n.),Low,
notification,noun,a message alerting someone to something,通知,notify (v.),High,
anxious,adjective,feeling worried or nervous,焦虑的,anxiety (n.),Medium,sixth /ŋ/ example
anxiety,noun,a feeling of worry or nervousness,焦虑（名词）,anxious (adj.),High,"seventh /ŋ/ example, new shift mechanism"
confident,adjective,feeling sure of oneself,自信的,confidence (n.),Low,stress-stable pair
confidence,noun,a feeling of self-assurance,自信（名词）,confident (adj.),Low,stress-stable pair
enthusiastic,adjective,showing intense enjoyment or interest,热情的,enthusiasm (n.); enthusiast (n.),High,fifth -ic family shift pair
enthusiasm,noun,intense enjoyment or interest,热情（名词）,enthusiastic (adj.); enthusiast (n.),High,
curious,adjective,eager to know or learn something,好奇的,curiosity (n.),Medium,
curiosity,noun,a strong desire to know or learn something,好奇心,curious (adj.),High,seventh -ity data point
ambitious,adjective,having a strong desire for success,有抱负的,ambition (n.),Medium,stress-stable pair
ambition,noun,a strong desire for success,抱负；野心,ambitious (adj.),Medium,stress-stable pair
humble,adjective,not proud or arrogant; modest,谦逊的,humility (n.); humbly (adv.),Low,
humility,noun,the quality of being humble,谦逊（名词）,humble (adj.),High,eighth and final -ity data point
optimistic,adjective,hopeful and confident about the future,乐观的,optimism (n.); optimist (n.),High,sixth -ic family shift pair
optimism,noun,hopefulness about the future,乐观（名词）,optimistic (adj.); optimist (n.),Medium,
resilient,adjective,able to recover quickly from difficulty,有韧性的,resilience (n.),High,stress-stable pair
resilience,noun,the ability to recover quickly from difficulty,韧性；适应力,resilient (adj.),High,third stress-stable -ent/-ence pair
empathy,noun,the ability to understand and share the feelings of another,同理心；共情,empathetic (adj.); empathize (v.),Medium,
empathetic,adjective,showing empathy,有同理心的,empathy (n.); empathize (v.),High,seventh and final -ic family shift pair
gratitude,noun,the quality of being thankful,感激；感恩,grateful (adj.),Medium,
grateful,adjective,feeling or showing thanks,感激的,gratitude (n.); gratefully (adv.),Medium,
