word,pte_frequency_rating,question_types,basis,source
heritage,"Medium-High","Read Aloud, Essay","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
tradition,High,"Read Aloud, Essay","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
custom,"Medium-High","Read Aloud, Essay","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
religion,"Medium-High","Read Aloud, Retell Lecture","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
religious,Medium,"Read Aloud, Retell Lecture","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
budget,"Very High","Essay, Describe Image","author judgment: common in financial data-reporting contexts","Practice — not from a verified PTE frequency list"
investment,"Very High","Essay, Read Aloud","author judgment: common business/finance Read Aloud topic","Practice — not from a verified PTE frequency list"
invest,High,"Essay, Read Aloud","author judgment: common business/finance Read Aloud topic","Practice — not from a verified PTE frequency list"
profit,"Very High","Essay, Describe Image","author judgment: common in financial data-reporting contexts","Practice — not from a verified PTE frequency list"
revenue,"Very High","Describe Image, Essay","author judgment: common in financial data-reporting contexts","Practice — not from a verified PTE frequency list"
expense,High,"Essay, Read Aloud","author judgment: common business/finance Read Aloud topic","Practice — not from a verified PTE frequency list"
finance,High,"Essay, Read Aloud","author judgment: common business/finance Read Aloud topic","Practice — not from a verified PTE frequency list"
financial,"Very High","Essay, Describe Image","author judgment: common in financial data-reporting contexts","Practice — not from a verified PTE frequency list"
commercial,High,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
corporate,High,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
corporation,"Medium-High","Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
industry,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
industrial,High,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
market,"Very High","Read Aloud, Essay, Describe Image","author judgment: common business/economics Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
marketing,"Very High","Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
competition,"Very High","Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
competitive,High,"Essay, Read Aloud","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
consumer,"Very High","Essay, Read Aloud","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
consumption,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
transaction,High,"Read Aloud, Essay","author judgment: common business/finance Read Aloud topic","Practice — not from a verified PTE frequency list"
currency,High,"Read Aloud, Essay","author judgment: common economics-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
inflation,High,"Read Aloud, Essay","author judgment: common economics-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
taxation,"Medium-High","Read Aloud, Essay","author judgment: common economics/policy-topic content","Practice — not from a verified PTE frequency list"
income,"Very High","Essay, Describe Image","author judgment: common in financial data-reporting contexts","Practice — not from a verified PTE frequency list"
salary,High,"Essay, Write Email","author judgment: common workplace-topic vocabulary","Practice — not from a verified PTE frequency list"
wage,"Medium-High","Read Aloud, Essay","author judgment: common economics-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
entrepreneur,Medium,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
enterprise,Medium,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
shareholder,Medium,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
stakeholder,Medium,"Read Aloud, Essay","author judgment: common business-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
region,"Very High","Read Aloud, Essay, Describe Image","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
regional,High,"Read Aloud, Essay","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
rural,High,"Read Aloud, Essay","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
urban,"Very High","Read Aloud, Essay","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
suburb,"Medium-High","Read Aloud, Essay","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
municipal,Medium,"Read Aloud, Retell Lecture","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
residential,"Medium-High","Read Aloud, Essay","author judgment: common urban-planning-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
territory,Medium,"Read Aloud, Retell Lecture","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
boundary,Medium,"Read Aloud, Essay","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
coastal,Medium,"Read Aloud, Retell Lecture","author judgment: common geography-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
media,"Very High","Essay, Read Aloud","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
journalism,Medium,"Read Aloud, Retell Lecture","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
journalist,Medium,"Read Aloud, Retell Lecture","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
broadcast,"Medium-High","Read Aloud, Retell Lecture","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
publication,"Medium-High","Read Aloud, Essay","author judgment: common academic/media-topic vocabulary","Practice — not from a verified PTE frequency list"
publish,"Medium-High","Read Aloud, Essay","author judgment: common academic/media-topic vocabulary","Practice — not from a verified PTE frequency list"
entertainment,High,"Read Aloud, Essay","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
audience,High,"Read Aloud, Essay","author judgment: common media/entertainment-topic content","Practice — not from a verified PTE frequency list"
advertisement,"Medium-High","Read Aloud, Essay","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
advertise,Medium,"Read Aloud, Essay","author judgment: common media-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
platform,"Very High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
network,"Very High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
digital,"Very High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
software,"Very High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
hardware,"Very High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
interface,"Medium-High","Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
database,High,"Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
server,High,"Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
bandwidth,Medium,"Read Aloud, Retell Lecture","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
connectivity,High,"Read Aloud, Essay","author judgment: common technology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
law,Very High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
legal,Very High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
illegal,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
legislation,Medium-High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
legislature,Medium,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
justice,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
judge,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
judicial,Medium,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
court,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
crime,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
criminal,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
offense,Medium,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
penalty,Medium-High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
punishment,Medium,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
enforcement,Medium-High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
regulation,Very High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
regulate,High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
authority,Very High,"Read Aloud, Essay",author judgment: common law/justice-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
election,Very High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
candidate,Very High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
campaign,High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
democracy,High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
democratic,High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
citizen,Very High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
citizenship,Medium-High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
constitution,Medium-High,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
parliament,Medium,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
senate,Medium,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
diplomat,Medium,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
diplomatic,Medium,"Read Aloud, Essay",author judgment: common politics/civics-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
literature,High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
novel,Medium-High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
poetry,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
author,Very High,"Read Aloud, Retell Lecture, Summarize Written Text",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
narrative,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
fiction,Medium-High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
character,Very High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
theater,Medium-High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
performance,Very High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
perform,High,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
exhibition,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
gallery,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
sculpture,Low-Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
architecture,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
architect,Medium,"Read Aloud, Retell Lecture",author judgment: common arts/literature-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
athlete,Medium-High,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
athletic,Medium,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
championship,Medium-High,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
tournament,Medium,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
stadium,Medium,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
spectator,Medium,"Read Aloud, Describe Image",author judgment: common sports-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
leisure,Medium,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
hobby,Medium-High,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
recreation,Medium,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
tourism,High,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
tourist,Very High,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
destination,Very High,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
accommodation,High,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
itinerary,Medium,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
souvenir,Medium,"Read Aloud, Essay",author judgment: common travel/leisure-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
experiment,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
laboratory,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
observe,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
observation,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
sample,Medium-High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
survey,High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
questionnaire,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
verify,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
verification,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
replicate,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
empirical,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
quantitative,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
qualitative,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
statistic,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
statistics,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
scientist,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
discovery,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
discover,High,"Read Aloud, Retell Lecture",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
invention,Medium-High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
invent,Medium-High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
breakthrough,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
prototype,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
simulate,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
simulation,Medium,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
calculate,High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
calculation,Medium-High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
measurement,Medium-High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
measure,High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
assess,High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
assessment,Very High,"Read Aloud, Essay",author judgment: common science/research-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
household,Medium-High,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
family,Very High,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
relative,Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
sibling,Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
parent,Very High,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
spouse,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
marriage,Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
divorce,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
childhood,Medium-High,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
elderly,Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
guardian,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
upbringing,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
ancestor,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
descendant,Low-Medium,"Read Aloud, Essay",author judgment: common family/relationships-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
diet,Medium-High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
appetite,Low-Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
allergy,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
therapy,Medium-High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
therapist,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
hospital,High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
clinic,Medium-High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
patient,High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
physician,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
surgeon,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
prescription,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
medication,High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
recovery,Medium-High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
rehabilitation,Low-Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
wellness,Medium,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
hygiene,Medium-High,"Read Aloud, Essay",author judgment: common health-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
airport,Very High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
passenger,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
luggage,Medium-High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
departure,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
arrival,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
boarding,Medium-High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
terminal,Medium,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
customs,Medium,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
immigration,Medium-High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
passport,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
transit,Medium,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
delay,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
route,Medium-High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
traffic,High,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
congestion,Medium,"Read Aloud, Essay",author judgment: common travel/transportation-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
weather,Very High,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
forecast,Medium-High,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
humidity,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
precipitation,Low-Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
drought,Low-Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
flood,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
hurricane,Low-Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
thunderstorm,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
wind,Medium-High,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
rainfall,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
storm,Medium-High,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
disaster,Medium-High,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
earthquake,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
wildfire,Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
tornado,Low-Medium,"Read Aloud, Essay",author judgment: common weather/disasters-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
interview,Very High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
resume,High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
application,Very High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
promotion,High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
recruit,Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
recruitment,Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
onboarding,Low-Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
teamwork,High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
freelance,Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
remote,High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
